rang;ville;vol_love_room;vol_chambre_jacuzzi;vol_total;kd_moyen;nb_kw_love
290;yvetot;90;0;90;36;1
291;onnaing;90;0;90;30;1
292;bavay;80;0;80;23;2
293;abbeville;70;40;110;15;1
294;collioure;70;40;110;12;1
295;bastia;70;20;90;;1
296;altkirch;70;0;70;14;1
297;ancenis;70;0;70;9;1
298;anstaing;70;0;70;7;1
299;auch;70;0;70;9;1
300;audincourt;70;0;70;14;1
301;baccarat;70;0;70;26;1
302;bargemon;70;0;70;19;2
303;beaufort vallee;70;0;70;13;1
304;blagnac;70;0;70;14;1
305;bonnetable;70;0;70;14;1
306;bressuire;70;0;70;6;1
307;bretagne bord mer;70;0;70;8;1
308;bruay;70;0;70;4;1
309;capbreton;70;0;70;6;1
310;cergy;70;0;70;11;1
311;challans;70;0;70;4;1
312;chamalieres;70;0;70;12;1
313;chantilly;70;0;70;;1
314;chateau landon;70;0;70;15;1
315;chateaudun;70;0;70;;1
316;chatellerault;70;0;70;14;1
317;cote armor;70;0;70;5;1
318;cremieu;70;0;70;10;1
319;donges;70;0;70;19;1
320;douarnenez;70;0;70;8;1
321;douchy mines;70;0;70;12;1
322;etampes;70;0;70;9;1
323;flers;70;0;70;20;1
324;grane;70;0;70;10;1
325;guipry messac;70;0;70;19;1
326;hazebrouck;70;0;70;12;1
327;neubourg;70;0;70;19;1
328;longwy;70;0;70;8;1
329;luneville;70;0;70;21;1
330;mantes jolie;70;0;70;7;1
331;marignane;70;0;70;5;1
332;marne vallee;70;0;70;7;1
333;millau;70;0;70;10;1
334;montagnac;70;0;70;12;1
335;moulins;70;0;70;6;1
336;noyal pontivy;70;0;70;22;1
337;ouistreham;70;0;70;19;1
338;perros guirec;70;0;70;14;1
339;peyrins;70;0;70;31;1
340;pezenas;70;0;70;22;1
341;ploermel;70;0;70;18;1
342;pont audemer;70;0;70;31;1
343;redon;70;0;70;9;1
344;romorantin;70;0;70;28;1
345;saint chamond;70;0;70;14;1
346;saint gilles croix vie;70;0;70;10;1
347;saint jean mont;70;0;70;20;1
348;saint jean monts;70;0;70;;1
349;schirrhein;70;0;70;31;1
350;thonon;70;0;70;14;1
351;trouville;70;0;70;19;1
352;unieux;70;0;70;28;1
353;vaison romaine;70;0;70;10;1
354;villeneuve lot;70;0;70;12;1
355;ile re;70;0;70;14;1
